County Name,FIPS County Code,Beginning Year Date,Year,Date Revised,Count of Individuals,Measure,Number of Records,Time Measure,County Code Number,County Code,State FIPS Code,County FIPS Code,Latitude/Longitude
COMMONWEALTH,42000,01/01/2015,2015,04/23/2018,2219,Number of NAS babies born on to MA,1,Yearly,0,00,42,000,"(39.346129, -75.167756)"
ADAMS,42001,01/01/2015,2015,04/23/2018,17,Number of NAS babies born on to MA,1,Yearly,1,01,42,001,"(39.8720956503, -77.2222427076)"
ALLEGHENY,42003,01/01/2015,2015,04/23/2018,211,Number of NAS babies born on to MA,1,Yearly,2,02,42,003,"(40.4673554298, -79.9861984282)"
ARMSTRONG,42005,01/01/2015,2015,04/23/2018,18,Number of NAS babies born on to MA,1,Yearly,3,03,42,005,"(40.8150952555, -79.4731689893)"
BEAVER,42007,01/01/2015,2015,04/23/2018,32,Number of NAS babies born on to MA,1,Yearly,4,04,42,007,"(40.6834924548, -80.3510735648)"
BEDFORD,42009,01/01/2015,2015,04/23/2018,16,Number of NAS babies born on to MA,1,Yearly,5,05,42,009,"(40.0073753643, -78.4911647381)"
BERKS,42011,01/01/2015,2015,04/23/2018,49,Number of NAS babies born on to MA,1,Yearly,6,06,42,011,"(40.4193963513, -75.9307732705)"
BLAIR,42013,01/01/2015,2015,04/23/2018,37,Number of NAS babies born on to MA,1,Yearly,7,07,42,013,"(40.4855502384, -78.349076871)"
BRADFORD,42015,01/01/2015,2015,04/23/2018,-3,Number of NAS babies born on to MA,1,Yearly,8,08,42,015,"(41.7911781401, -76.5182562384)"
BUCKS,42017,01/01/2015,2015,04/23/2018,92,Number of NAS babies born on to MA,1,Yearly,9,09,42,017,"(40.335011331, -75.1129124111)"
BUTLER,42019,01/01/2015,2015,04/23/2018,59,Number of NAS babies born on to MA,1,Yearly,10,10,42,019,"(40.9108318483, -79.9171177889)"
CAMBRIA,42021,01/01/2015,2015,04/23/2018,59,Number of NAS babies born on to MA,1,Yearly,11,11,42,021,"(40.4912749067, -78.7189417385)"
CAMERON,42023,01/01/2015,2015,04/23/2018,-3,Number of NAS babies born on to MA,1,Yearly,12,12,42,023,"(41.4388026531, -78.2091693241)"
CARBON,42025,01/01/2015,2015,04/23/2018,11,Number of NAS babies born on to MA,1,Yearly,13,13,42,025,"(40.9193670081, -75.7110703866)"
CENTRE,42027,01/01/2015,2015,04/23/2018,-3,Number of NAS babies born on to MA,1,Yearly,14,14,42,027,"(40.9193135008, -77.8250011212)"
CHESTER,42029,01/01/2015,2015,04/23/2018,39,Number of NAS babies born on to MA,1,Yearly,15,15,42,029,"(39.9748705566, -75.7562649818)"
CLARION,42031,01/01/2015,2015,04/23/2018,-3,Number of NAS babies born on to MA,1,Yearly,16,16,42,031,"(41.1927912877, -79.4248360769)"
CLEARFIELD,42033,01/01/2015,2015,04/23/2018,33,Number of NAS babies born on to MA,1,Yearly,17,17,42,033,"(41.0004290024, -78.4755834299)"
CLINTON,42035,01/01/2015,2015,04/23/2018,-3,Number of NAS babies born on to MA,1,Yearly,18,18,42,035,"(41.2328627374, -77.6428376046)"
COLUMBIA,42037,01/01/2015,2015,04/23/2018,-3,Number of NAS babies born on to MA,1,Yearly,19,19,42,037,"(41.0491208559, -76.4100217975)"
CRAWFORD,42039,01/01/2015,2015,04/23/2018,25,Number of NAS babies born on to MA,1,Yearly,20,20,42,039,"(41.6854690692, -80.1132108295)"
